date,open,high,low,close,adj_close,volume,log_return_1d
2019-04-22,48.586639,49.092075,48.469261,48.993862,48.993862,77758000,0.003281
2019-04-23,48.969902,49.765190,48.842945,49.700512,49.700512,93292000,0.014320
2019-04-24,49.671772,49.940060,49.597511,49.623863,49.623863,70162400,-0.001543
2019-04-25,49.544804,49.767578,49.135185,49.173512,49.173512,74172800,-0.009117
2019-04-26,49.082481,49.106438,48.416553,48.938759,48.938759,74596400,-0.004785
2019-04-29,48.962715,49.338802,48.833366,49.013023,49.013023,88818800,0.001516
2019-04-30,48.641735,48.723179,47.695538,48.069225,48.069225,186139600,-0.019444
2019-05-01,50.275421,51.576141,50.119717,50.428730,50.428730,259309200,0.047919
2019-05-02,50.265835,50.938950,49.856216,50.100548,50.100548,127985200,-0.006529
2019-05-03,50.517345,50.744911,50.359245,50.723354,50.723354,83569600,0.012354
2019-05-06,48.936367,50.026291,48.747131,49.940056,49.940056,129772400,-0.015563
2019-05-07,49.317242,49.686138,48.107544,48.593819,48.593819,155054800,-0.027327
2019-05-08,48.363853,49.187885,48.327923,48.603397,48.603397,105358000,0.000197
2019-05-09,48.004543,48.311161,47.108654,48.081200,48.081200,139634400,-0.010802
2019-05-10,47.472813,47.816681,46.354649,47.415100,47.415100,164834800,-0.013951
2019-05-13,45.137897,45.563519,43.969231,44.659367,44.659367,229722400,-0.059877
2019-05-14,44.825294,45.616428,44.584827,45.366344,45.366344,146118800,0.015706
2019-05-15,44.791630,46.109386,44.731514,45.909798,45.909798,106178800,0.011908
2019-05-16,45.666931,46.282524,45.409630,45.707809,45.707809,132125600,-0.004409
2019-05-17,44.950333,45.904984,44.909454,45.448101,45.448101,131516400,-0.005698
2019-05-20,44.130344,44.329933,43.351234,44.026943,44.026943,154449200,-0.031769
2019-05-21,44.539124,45.207619,44.414078,44.870968,44.870968,113459200,0.018989
2019-05-22,44.404480,44.656971,43.897099,43.952404,43.952404,118994400,-0.020684
2019-05-23,43.235802,43.413746,42.757275,43.202137,43.202137,146118800,-0.017217
2019-05-24,43.331993,43.798500,42.952057,43.036221,43.036221,94858800,-0.003848
2019-05-27,43.331993,43.798500,42.952057,43.036221,43.036221,94858800,0.000000
2019-05-28,43.024200,43.425777,42.781330,42.858276,42.858276,111792800,-0.004143
2019-05-29,42.423027,43.127598,42.322033,42.653877,42.653877,113924800,-0.004781
2019-05-30,42.790951,43.098747,42.483154,42.875114,42.875114,84873600,0.005173
2019-05-31,42.377354,42.800575,42.079178,42.098415,42.098415,108174400,-0.018281
2019-06-03,42.225845,42.783722,40.944160,41.672771,41.672771,161584400,-0.010162
2019-06-04,42.187382,43.243027,41.966152,43.197338,43.197338,123872000,0.035931
2019-06-05,44.313087,44.483822,43.558025,43.894676,43.894676,119093600,0.016014
2019-06-06,44.024536,44.599251,43.800903,44.539135,44.539135,90105200,0.014575
2019-06-07,44.849331,46.150253,44.671391,45.724628,45.724628,122737600,0.026269
2019-06-10,46.123810,46.979866,46.078121,46.308968,46.308968,104883600,0.012699
2019-06-11,46.857227,47.131359,46.554241,46.845203,46.845203,107731600,0.011513
2019-06-12,46.638416,47.124157,46.503754,46.696129,46.696129,73012800,-0.003187
2019-06-13,46.818748,47.321323,46.554241,46.686493,46.686493,86698400,-0.000206
2019-06-14,46.061287,46.551838,45.760704,46.347443,46.347443,75046000,-0.007289
2019-06-17,46.385921,46.881287,46.210384,46.623985,46.623985,58676400,0.005949
2019-06-18,47.143383,48.162956,46.941395,47.720501,47.720501,106204000,0.023246
2019-06-19,48.016277,48.064373,47.446377,47.581036,47.581036,84496800,-0.002927
2019-06-20,48.182194,48.239906,47.619503,47.963371,47.963371,86056000,0.008003
2019-06-21,47.804668,48.297626,47.648361,47.799858,47.799858,191202400,-0.003415
2019-06-24,47.742142,48.131699,47.653172,47.751762,47.751762,72881600,-0.001007
2019-06-25,47.715683,47.915272,46.960621,47.027954,47.027954,84281200,-0.015274
2019-06-26,47.556984,48.331287,47.455990,48.045132,48.045132,104270000,0.021399
2019-06-27,48.162956,48.470757,47.989822,48.030701,48.030701,83598800,-0.000300
2019-06-28,47.775814,47.973000,47.383858,47.593063,47.593063,124442400,-0.009153
2019-07-01,48.855495,49.172913,48.249519,48.465942,48.465942,109012000,0.018174
2019-07-02,48.432281,48.845882,48.420258,48.749695,48.749695,67740800,0.005838
2019-07-03,48.881954,49.160896,48.740082,49.153683,49.153683,45448000,0.008253
2019-07-04,48.881954,49.160896,48.740082,49.153683,49.153683,45448000,0.000000
2019-07-05,48.898781,49.314789,48.790569,49.110390,49.110390,69062000,-0.000881
2019-07-08,48.288002,48.429874,47.710884,48.098034,48.098034,101354400,-0.020829
2019-07-09,47.900845,48.456322,47.807064,48.391399,48.391399,82312000,0.006081
2019-07-10,48.538097,48.990170,48.468361,48.869938,48.869938,71588400,0.009840
2019-07-11,48.889160,49.148865,48.504417,48.514034,48.514034,80767200,-0.007309
2019-07-12,48.682362,49.055088,48.622246,48.886761,48.886761,70380800,0.007654
2019-07-15,49.076721,49.504749,49.055080,49.346046,49.346046,67789600,0.009351
2019-07-16,49.196968,49.562477,48.934860,49.175327,49.175327,67467200,-0.003466
2019-07-17,49.067116,49.317200,48.879555,48.898792,48.898792,56430000,-0.005639
2019-07-18,49.055084,49.507160,48.982941,49.454258,49.454258,74162400,0.011295
2019-07-19,49.485512,49.656246,48.660717,48.716022,48.716022,83717200,-0.015040
2019-07-22,48.970921,49.831791,48.961304,49.829388,49.829388,89111600,0.022597
2019-07-23,50.127571,50.235779,49.846222,50.218945,50.218945,73420800,0.007787
2019-07-24,49.937595,50.293484,49.817364,50.178062,50.178062,59966400,-0.000814
2019-07-25,50.230968,50.315132,49.711559,49.781296,49.781296,55638400,-0.007939
2019-07-26,49.891914,50.432964,49.810158,49.954437,49.954437,70475600,0.003472
2019-07-29,50.127571,50.651787,50.122761,50.420937,50.420937,86693600,0.009295
2019-07-30,50.199703,50.536358,49.851028,50.204514,50.204514,135742800,-0.004302
2019-07-31,52.041691,53.231995,50.810505,51.228912,51.228912,277125600,0.020199
2019-08-01,51.435696,52.428822,49.713963,50.120346,50.120346,216071600,-0.021877
2019-08-02,49.422997,49.639416,48.485180,49.059895,49.059895,163448400,-0.021385
2019-08-05,47.609882,47.768589,46.308960,46.491714,46.491714,209572000,-0.053768
2019-08-06,47.205898,47.629120,46.660038,47.371819,47.371819,143299200,0.018753
2019-08-07,46.989475,47.987408,46.607136,47.862366,47.862366,133457600,0.010302
2019-08-08,48.141312,48.942066,47.946537,48.918018,48.918018,108038000,0.021816
2019-08-09,48.589748,48.942158,48.104572,48.514919,48.514919,98478800,-0.008274
2019-08-12,48.184223,48.770775,48.070770,48.391808,48.391808,89927600,-0.002541
2019-08-13,48.522156,51.206299,48.391808,50.441124,50.441124,188874000,0.041476
2019-08-14,49.038715,49.830441,48.901127,48.939747,48.939747,146189600,-0.030217
2019-08-15,49.111126,49.516640,48.196293,48.695950,48.695950,108909600,-0.004994
2019-08-16,49.309055,50.004230,49.202847,49.844917,49.844917,110481600,0.023321
2019-08-19,50.839409,51.348721,50.696995,50.774239,50.774239,97654400,0.018473
2019-08-20,50.902172,51.498379,50.766998,50.776653,50.776653,107537200,0.000048
2019-08-21,51.411476,51.570786,51.075958,51.326992,51.326992,86141600,0.010780
2019-08-22,51.459751,51.761478,50.870785,51.283546,51.283546,89014800,-0.000847
2019-08-23,50.552166,51.184586,48.517338,48.913200,48.913200,187272000,-0.047323
2019-08-26,49.690430,50.011463,49.497326,49.842499,49.842499,104174400,0.018821
2019-08-27,50.173187,50.339741,49.128014,49.280083,49.280083,103493200,-0.011348
2019-08-28,49.265610,49.656643,49.077332,49.610779,49.610779,63755200,0.006688
2019-08-29,50.327675,50.525608,49.883537,50.450779,50.450779,83962000,0.016790
2019-08-30,50.728371,50.798370,50.013885,50.385612,50.385612,84573600,-0.001293
2019-09-02,50.728371,50.798370,50.013885,50.385612,50.385612,84573600,0.000000
2019-09-03,49.828011,49.960773,49.294563,49.651806,49.651806,80092000,-0.014671
2019-09-04,50.301125,50.564228,50.042850,50.494228,50.494228,76752400,0.016824
2019-09-05,51.172516,51.648037,51.054241,51.481483,51.481483,95654800,0.019363
2019-09-06,51.667332,51.756641,51.295605,51.476639,51.476639,77449200,-0.000094
2019-09-09,51.858021,52.244228,50.948021,51.696297,51.696297,109237600,0.004258
2019-09-10,51.621483,52.326309,51.102516,52.306999,52.306999,127111600,0.011744
2019-09-11,52.637688,53.999069,52.555614,53.970100,53.970100,177158400,0.031300
2019-09-12,54.262180,54.653214,53.793903,53.849419,53.849419,128906800,-0.002239
2019-09-13,53.103546,53.294235,52.384235,52.801823,52.801823,159053200,-0.019646
2019-09-16,52.555611,53.134922,52.514576,53.079403,53.079403,84632400,0.005243
2019-09-17,53.093895,53.301483,52.891132,53.272514,53.272514,73274800,0.003632
2019-09-18,53.359406,53.791477,52.968372,53.772167,53.772167,101360000,0.009335
2019-09-19,53.588718,54.011135,53.192856,53.335274,53.335274,88242400,-0.008158
2019-09-20,53.436649,53.721474,52.492855,52.555611,52.555611,221652400,-0.014726
2019-09-23,52.850098,53.064926,52.536304,52.794582,52.794582,76662000,0.004537
2019-09-24,53.352173,53.704590,52.425278,52.543549,52.543549,124763200,-0.004766
2019-09-25,52.753544,53.465614,52.413197,53.352165,53.352165,87613600,0.015272
2019-09-26,53.103539,53.330437,52.821125,53.076988,53.076988,75334000,-0.005171
2019-09-27,53.233891,53.335274,52.446995,52.818722,52.818722,101408000,-0.004878
2019-09-30,53.320778,54.209057,53.294228,54.061817,54.061817,103909600,0.023262
2019-10-01,54.327335,55.087681,54.117332,54.211472,54.211472,139223200,0.002764
2019-10-02,53.842171,53.967690,52.603889,52.852516,52.852516,138449200,-0.025387
2019-10-03,52.724579,53.335274,51.928028,53.301479,53.301479,114426000,0.008459
2019-10-04,54.464916,54.911469,54.042500,54.795605,54.795605,138478800,0.027646
2019-10-07,54.617001,55.500450,54.513206,54.807690,54.807690,122306000,0.000221
2019-10-08,54.508373,55.049061,54.148716,54.165611,54.165611,111820000,-0.011784
2019-10-09,54.800449,54.983894,54.464931,54.800449,54.800449,74770400,0.011652
2019-10-10,55.017681,55.623547,54.865616,55.539062,55.539062,113013600,0.013388
2019-10-11,56.229412,57.361485,56.074928,57.016312,57.016312,166795600,0.026251
2019-10-14,56.700096,57.479755,56.644581,56.934235,56.934235,96427600,-0.001441
2019-10-15,57.059765,57.363903,56.695282,56.801491,56.801491,87360000,-0.002334
2019-10-16,56.330791,56.782173,56.289757,56.572170,56.572170,73903200,-0.004045
2019-10-17,56.745968,57.001831,56.367004,56.791832,56.791832,67585200,0.003875
2019-10-18,56.625282,57.347008,56.552864,57.064594,57.064594,97433600,0.004791
2019-10-21,57.332516,58.170105,57.284241,58.054241,58.054241,87247200,0.017194
2019-10-22,58.211132,58.462166,57.839405,57.921478,57.921478,82293600,-0.002289
2019-10-23,58.438049,58.713219,58.225632,58.698734,58.698734,75828800,0.013330
2019-10-24,59.019760,59.089760,58.368034,58.795277,58.795277,69275200,0.001643
2019-10-25,58.693890,59.555614,58.626305,59.519409,59.519409,73477200,0.012241
2019-10-28,59.722183,60.163910,59.553219,60.115635,60.115635,96572800,0.009967
2019-10-29,60.096317,60.284592,58.551487,58.725277,58.725277,142839600,-0.023400
2019-10-30,59.080105,59.210453,58.223213,58.718037,58.718037,124522000,-0.000123
2019-10-31,59.678734,60.144596,57.269760,60.045628,60.045628,139162000,0.022358
2019-11-01,60.233906,61.776321,60.142185,61.749775,61.749775,151125200,0.027986
2019-11-04,62.114246,62.239769,61.643562,62.155285,62.155285,103272000,0.006546
2019-11-05,62.046665,62.321842,61.870461,62.065979,62.065979,79897600,-0.001438
2019-11-06,61.979065,62.152859,61.641136,62.092514,62.092514,75864400,0.000427
2019-11-07,62.642109,63.031902,62.489582,62.809162,62.809162,94940400,0.011476
2019-11-08,62.629993,63.053677,62.184525,62.981049,62.981049,69986400,0.002733
2019-11-11,62.535561,63.545139,62.530724,63.479774,63.479774,81821200,0.007887
2019-11-12,63.322407,63.622620,63.169884,63.421669,63.421669,87388800,-0.000916
2019-11-13,63.220730,64.104408,63.206203,64.029358,64.029358,102734400,0.009536
2019-11-14,63.855061,64.128639,63.455589,63.586327,63.586327,89182800,-0.006943
2019-11-15,63.838085,64.346504,63.675880,64.341667,64.341667,100206400,0.011809
2019-11-18,64.351364,64.745995,63.971268,64.666107,64.666107,86703200,0.005030
2019-11-19,64.859772,64.883980,64.252090,64.469986,64.469986,76167200,-0.003037
2019-11-20,64.288406,64.419144,63.043987,63.719463,63.719463,106234400,-0.011710
2019-11-21,63.840508,63.917980,63.232822,63.433773,63.433773,121395200,-0.004494
2019-11-22,63.574223,63.717060,63.150539,63.378117,63.378117,65325200,-0.000878
2019-11-25,63.603268,64.506325,63.557266,64.489372,64.489372,84020400,0.017382
2019-11-26,64.627365,64.680626,63.552422,63.985790,63.985790,105207600,-0.007839
2019-11-27,64.298080,64.879135,64.232712,64.845238,64.845238,65235600,0.013342
2019-11-28,64.298080,64.879135,64.232712,64.845238,64.845238,65235600,0.000000
